sample,method,threshold,sig,p_value
DO218254,QP,0.1,COSMIC_3,1.29E-160
DO218254,QP,0.2,COSMIC_3,1
DO218269,QP,0,COSMIC_3,1.67E-165
DO218269,QP,0.01,COSMIC_3,1.67E-165
DO218269,QP,0.05,COSMIC_3,1.67E-165
DO218269,QP,0.1,COSMIC_3,1.67E-165
DO218269,QP,0.2,COSMIC_3,1.67E-165
DO218279,QP,0,COSMIC_3,1.67E-165
DO218279,QP,0.01,COSMIC_3,1.67E-165
DO218279,QP,0.05,COSMIC_3,1.67E-165
DO218279,QP,0.1,COSMIC_3,1.67E-165
DO218279,QP,0.2,COSMIC_3,1.32E-164
DO218333,QP,0,COSMIC_3,1.67E-165
DO218333,QP,0.01,COSMIC_3,1.67E-165
DO218333,QP,0.05,COSMIC_3,1.67E-165
DO218333,QP,0.1,COSMIC_3,1.67E-165
DO218333,QP,0.2,COSMIC_3,1.67E-165
DO218347,QP,0,COSMIC_3,8.60E-145
DO218347,QP,0.01,COSMIC_3,5.72E-136
DO218347,QP,0.05,COSMIC_3,1.46E-13
DO218347,QP,0.1,COSMIC_3,1
DO218347,QP,0.2,COSMIC_3,1
DO218377,QP,0,COSMIC_3,4.65E-163
DO218377,QP,0.01,COSMIC_3,1.04E-164
DO218377,QP,0.05,COSMIC_3,2.82E-133
DO218377,QP,0.1,COSMIC_3,0.026695875
DO218377,QP,0.2,COSMIC_3,1
DO218384,QP,0,COSMIC_3,5.07E-111
DO218384,QP,0.01,COSMIC_3,5.11E-50
DO218384,QP,0.05,COSMIC_3,1
DO218384,QP,0.1,COSMIC_3,1
DO218384,QP,0.2,COSMIC_3,1
DO218388,QP,0,COSMIC_3,7.48E-165
DO218388,QP,0.01,COSMIC_3,2.00E-165
DO218388,QP,0.05,COSMIC_3,3.78E-158
DO218388,QP,0.1,COSMIC_3,7.66E-42
DO218388,QP,0.2,COSMIC_3,1
DO218404,QP,0,COSMIC_3,1.67E-165
DO218404,QP,0.01,COSMIC_3,1.67E-165
DO218404,QP,0.05,COSMIC_3,1.67E-165
DO218404,QP,0.1,COSMIC_3,1.67E-165
DO218404,QP,0.2,COSMIC_3,1.67E-165
DO218408,QP,0,COSMIC_3,0.000241201
DO218408,QP,0.01,COSMIC_3,1
DO218408,QP,0.05,COSMIC_3,1
DO218408,QP,0.1,COSMIC_3,1
DO218408,QP,0.2,COSMIC_3,1
DO218419,QP,0,COSMIC_3,1.67E-165
DO218419,QP,0.01,COSMIC_3,1.67E-165
DO218419,QP,0.05,COSMIC_3,1.67E-165
DO218419,QP,0.1,COSMIC_3,1.67E-165
DO218419,QP,0.2,COSMIC_3,1.67E-165
DO218428,QP,0,COSMIC_3,0.007133093
DO218428,QP,0.01,COSMIC_3,1
DO218428,QP,0.05,COSMIC_3,1
DO218428,QP,0.1,COSMIC_3,1
DO218428,QP,0.2,COSMIC_3,1
DO218457,QP,0,COSMIC_3,3.40E-35
DO218457,QP,0.01,COSMIC_3,1
DO218457,QP,0.05,COSMIC_3,1
DO218457,QP,0.1,COSMIC_3,1
DO218457,QP,0.2,COSMIC_3,1
DO218478,QP,0,COSMIC_3,1.97E-107
DO218478,QP,0.01,COSMIC_3,1.09E-37
DO218478,QP,0.05,COSMIC_3,1
DO218478,QP,0.1,COSMIC_3,1
DO218478,QP,0.2,COSMIC_3,1
DO218488,QP,0,COSMIC_3,0.011247136
DO218488,QP,0.01,COSMIC_3,1
DO218488,QP,0.05,COSMIC_3,1
DO218488,QP,0.1,COSMIC_3,1
DO218488,QP,0.2,COSMIC_3,1
DO218489,QP,0,COSMIC_3,2.02E-41
DO218489,QP,0.01,COSMIC_3,1
DO218489,QP,0.05,COSMIC_3,1
DO218489,QP,0.1,COSMIC_3,1
DO218489,QP,0.2,COSMIC_3,1
DO218502,QP,0,COSMIC_3,8.50E-160
DO218502,QP,0.01,COSMIC_3,8.80E-161
DO218502,QP,0.05,COSMIC_3,1.41E-40
DO218502,QP,0.1,COSMIC_3,1
DO218502,QP,0.2,COSMIC_3,1
DO218506,QP,0,COSMIC_3,1
DO218506,QP,0.01,COSMIC_3,1
DO218506,QP,0.05,COSMIC_3,1
DO218506,QP,0.1,COSMIC_3,1
DO218506,QP,0.2,COSMIC_3,1
DO218553,QP,0,COSMIC_3,0.000160524
DO218553,QP,0.01,COSMIC_3,1
DO218553,QP,0.05,COSMIC_3,1
DO218553,QP,0.1,COSMIC_3,1
DO218553,QP,0.2,COSMIC_3,1
DO218560,QP,0,COSMIC_3,6.03E-58
DO218560,QP,0.01,COSMIC_3,1
DO218560,QP,0.05,COSMIC_3,1
